waterbody,date,dateNUTR,year,town,latitude,longitude,state,data_source,mult_survey,off_season,surfacearea_ha,surfaceaarea_sqm,perimeter_m,shoreline_development,depth_max_m,depth_avg_m,forested_shoreline_prop,inflow,outflow,FP_presence,FPcover_avg,FPcover_low_est,FPcover_max,FPcover_min,azolla,eichhornia_crassipes,lemna_minor,lemna_trisulca,lemna_valdiviana,riccia,spirodela_polyrhiza,wolffia,wolffia_borealis ,wolffia_brasiliensis ,allplant_species_richness,FP_species_richness,nonFP_species_richness,regime,azolla_cover_prop,lminor_cover_prop,lvaldiviana_cover_prop,ltrisulca_cover_prop,riccia_cover_prop,spolyrhiza_cover_prop,wolffia_cover_prop,wbrasiliensis_cover_prop,wborealis_cover_prop,TOTP_n,TOTP_avg,TOTP_SE,PO4_n,PO4_avg,PO4_SE,TOTN_n,TOTN_avg,TOTN_SE,NO3_n,NO3_avg,NO3_SE,NH4_n,NH4_avg,NH4_SE,totNtotP_n,totNtotP_avg,totNtotP_SE,PH_n,PH_avg,PH_SE,COND_n,COND_avg,COND_SE,DO_n,DO_avg,DO_SE,TEMP_n,TEMP_avg,TEMP_SE,ALK_n,ALK_avg,ALK_SE,secchi_n,secchi_avg,secchi_SE,notes,alisma,alisma_subcordatum,brasenia,cabomba,callitriche,callitriche_verna,callitriche_hetero,callitriche_stag,cardamine,ceratophyllum_dem,ceratophyllum_echin,charphyte,decodon,egeria,elatine,elatine_ameri,elatine_minima,elatine_triandra,eleocharis,eleocharis_acic,eleocharis_ellip,ellocharis_parv,elodea_canad,elodea_nutt,eriocaulon_aqua,fil_algae,glossostigma,gratiola,hydrilla,isoetes,isoetes_acad,isoetes_eaton,isoetes_echino,isoetes_engel,isoetes_lacus,isoetes_tuck,juncus,juncus_pelo,lobelia,ludwigia,ludwigia_dub,ludwigia_lac,ludwigia_pal,marsilea,megalodonta,myosotis,myriophyllum,myriophyllum_alt,myriophyllum_aqua,myriophyllum_hetero,myriophyllum_hetero_lax,myriophyllum_hum,myriophyllum_ten,myriophyllum_sibi,myriophyllum_spic,najas_flex,najas_grac,najas_guad,najas_minor,nasturtium,nelumbo,nuphar,nymphaea_odor,nymphaea_odor_odor,nymphaea_odor_tuber,nymphoides,nymphoides_cordata,nymphoides_pelt,peltandra,phragmites,polygonum,polygonum_amphi,polygonum_hydro,pontederia,potamogeton,potamogeton_ampli,potamogeton_berch,potamogeton_biculp,potamogeton_conferv,potamogeton_crispus,potamogeton_epi,potamogeton_foli,potamogeton_frie,potamogeton_grami,potamogeton_ilino,potamogeton_ilino_hybrid,potamogeton_natans,potamogeton_nodos,potamogeton_oakes,potamogeton_palus,potamogeton_perfo,potamogeton_pulch,potamogeton_pusil,potamogeton_prael,potamogeton_rich,potamogeton_robb,potamogeton_spir,potamogeton_vase,potamogeton_zost,proserpinaca,ranunculus,sagittaria,sagittaria_gram,sagittaria_lati,schoenoplectus,sparganium,sparganium_ameri,stuckenia,trapa,typha,typha_latif,sedge,utricularia,utricularia_gemi,utricularia_gibb,utricularia_inter,utricularia_macro,utricularia_mini,utricularia_mino,utricularia_purp,utricularia_radi,utricularia_subu,utricularia_vulg,vallisneria,zannichellia,zosterella
Amston Lake,8/22/2006,8/22/2006,2006,"Hebron, Lebanon, Colchester",41.6265,72.3307,CT,CAES,N,N,75.68,756762.151,5415.28,1.777,7.925,2.743,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,SAV,0,0,0,0,0,0,0,0,0,2,0.053,0.044,,,,,,,,,,,,,,,,2,6.7,0,2,67.85,1.75,1,6.3,,1,26,,2,13.85,3.05,1,3.5,,,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Pond,8/12/2004,8/12/2004,2004,North Stonington,41.5083,71.8954,CT,CAES,Y,N,22.91,229052.073,3034.55,1.924,2.286,1.646,,1,1,no data,,,,,,,,,,,,,,,18,,18,no dataSAV?,,,,,,,,,,2,0.0015,0.0005,,,,,,,,,,,,,,,,2,6,0,2,79,10,1,8.1,,1,25.5,,2,11.25,3.75,,1.4,,no data on floating plants ,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Anderson Pond,8/24/2012,8/24/2012,2012,North Stonington,41.5083,71.8954,CT,CAES,Y,N,22.91,229052.073,3034.55,1.924,2.286,1.646,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,SAV,0,0,0,0,0,0,0,0,0,2,0.0998,0.0675,,,,,,,,,,,,,,,,2,6.15,0.15,2,59.5,1.5,1,8.5,,1,24.3,,2,9.8,0,,1.3,,,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
Anderson Pond,combined,8/24/2012,comb,North Stonington,41.5083,71.8954,CT,CAES,Y,N,22.91,229052.073,3034.55,1.924,2.286,1.646,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,SAV,0,0,0,0,0,0,0,0,0,2,0.0507,0.0492,,,,,,,,,,,,,,,,2,6.075,0.075,2,69.25,9.75,2,0.05065,0.04915,2,24.9,0.6,2,10.525,0.725,2,1.35,0.05,,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0
Andover Lake,8/14/2008,8/14/2008,2008,Andover,41.7221,72.3592,CT,CAES,N,N,63.54,635356.458,4573.23,1.619,3,,,0,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,SAV,0,0,0,0,0,0,0,0,0,2,0.013,0.012,,,,,,,,,,,,,,,,2,6.3,0.1,2,76.65,0.35,1,5.9,,1,25.3,,2,13.4,0.6,1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Angus Park Pond,8/4/2005,8/4/2005,2005,Glastonbury,41.693,72.5318,CT,CAES,N,N,3.8,37603.035,1081.61,1.573,1.2,,0.8306,1,0,Y,0.1857,0.2616,0.2616,0.1099,0,0,1,0,0,0,1,0,0,0,12,2,10,SAV,0,0.10987,0,0,0,0,0,0,0,2,0.039,0.019,,,,,,,,,,,,,,,,2,6.2,0,2,126.5,2.5,1,6.6,,1,23.9,,2,30.75,0,1,1.2,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anni's Pond (Kleman's Dam),6/20/2011,6/20/2011,2011,Bethany,41.4551,72.995,CT,CAES,N,N,2.19,20327.33,653.71,1.293,3.5,,0.9541,0,0,Y,0.0014,0.0014,0.0014,0.0014,0,0,1,0,0,0,0,0,0,0,19,1,18,SAV,0,0.00142,0,0,0,0,0,0,0,2,0.0195,0.0005,,,,,,,,,,,,,,,,2,5.95,0.05,2,129.5,3.5,1,5.2,,1,23.6,,2,131.25,3.75,1,2,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashford Lake,7/12/2006,7/12/2006,2006,Ashford,41.9005,72.1277,CT,CAES,N,N,21.45,214483.39,2283.94,1.421,3.658,,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,SAV,0,0,0,0,0,0,0,0,0,2,0.0075,0.0065,,,,,,,,,,,,,,,,2,6.2,0,2,93,0,1,7.8,,1,26.4,,2,6,2,1,1.1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Avery Pond,9/30/2005,9/30/2005,2005,Preston,41.4931,71.9797,CT,CAES,N,N,10.4,104004.21,1761.39,1.164,2,,,0,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,SAV,0,0,0,0,0,0,0,0,0,2,0.084,0.017,,,,,,,,,,,,,,,,2,5.8,0.2,2,114,3,1,7.4,,1,19.5,,2,27.25,1.25,1,1.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball Pond,8/17/2005,8/17/2005,2005,New Fairfield,41.4626,73.5238,CT,CAES,N,N,33.39,328870.947,2946.56,1.449,15.545,7.315,0.3011,1,0,Y,0.005,0.005,0.005,0.005,0,0,1,0,0,0,0,0,0,0,10,1,9,SAV,0,0.005,0,0,0,0,0,0,0,2,0.1845,0.1515,,,,,,,,,,,,,,,,2,6.95,0.65,2,262.5,5.5,1,8.3,,1,27.2,,2,58.13,0.375,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bantam Pond (Timber Lake),9/27/2005,9/27/2005,2005,Torrington,41.7922,73.1946,CT,CAES,N,N,10,99957.354,1948.53,1.687,2,,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,SAV,0,0,0,0,0,0,0,0,0,2,0.0565,0.0025,,,,,,,,,,,,,,,,2,6.8,0,2,144,0,1,6.4,,1,18.5,,2,56.25,0.75,1,1.4,,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bashan Lake,8/27/2004,8/27/2004,2004,East Haddam,41.4905,72.4102,CT,CAES,N,N,110.48,1104791.803,7595.66,2.052,14.326,5.182,,1,1,no data,,,,,,,,,,,,,,,16,,16,no dataSAV?,,,,,,,,,,3,0.003,0.0025,,,,,,,,,,,,,,,,3,5.63,0.03,3,63.67,0.88,1,24.6,,1,7.3,,3,6.5,0.5,1,4.2,,no data on floating plants ,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
Basserman Pond,6/25/2009,6/25/2009,2009,Branford,41.5904,72.4266,CT,CAES,N,N,0.04,404.686,50.03,1.385,3,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,neither?,0,0,0,0,0,0,0,0,0,2,0.0295,0.0045,,,,,,,,,,,,,,,,2,6.35,0.05,2,223.5,44.5,1,4.2,,1,17.3,,2,69.4,13.9,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
