Location_ID,Location_Name,Location_Setting,Location_Description,Ecology_Facility_Site_ID,Is_Location_a_Well,Address,City,State,Zip_Code,County,Watershed_WRIA,Ecology_Region,US_Congressional_District,State_Legislative_District,NHD_Reach_Code,NHD_Reach_Measure,NHD_Edit_Date,Calculated_Latitude_Decimal_Degrees_NAD83HARN,Calculated_Longitude_Decimal_Degrees_NAD83HARN,Horizontal_Coordinates_Represent,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale,Township_Number,Township_Direction,Range_Number,Range_Direction,Section_Number,Quarter_Section_Township_Range,Quarter_Quarter_Section_Township_Range,Elevation_of,Elevation,Elevation_Units,Elevation_Datum,Elevation_Accuracy,Elevation_Collecton_Method,Sediment_Elevation_Reference,Location_Suspect_or_Rejected_Flag,Location_Suspect_Code,Location_Suspect_Description,Location_ID_Alias,Associated_Study_ID,Record_Created_On
FWM_BADSP1,BADGER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Spokane,Palouse,Eastern Regional Office,5,9,1.70601E+13,,7/4/2008 12:41,47.35039818,-117.6287827,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,22,N,41,E,33,SE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:36
FWM_BANGR1,BANKS LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Grand Coulee,Eastern Regional Office,4,12,1.702E+13,,4/21/2006 15:52,47.80583645,-119.1919091,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,27,N,29,E,29,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:36
FWM_BARTH1,BARNES LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Thurston,Deschutes,Southwest Regional Office,10,22,1.711E+13,,8/8/2008 12:48,47.00389093,-122.9160738,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,18,N,2,W,65,SE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:36
FWM_BASKI1,BASS LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,King,Duwamish-Green,Northwest Regional Office,8,5,1.711E+13,,12/28/2004 16:51,47.25485049,-121.9956247,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,20,N,6,E,2,NE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:36
FWM_BATCL1,BATTLEGROUND LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Clark,Salmon-Washougal,Southwest Regional Office,3,18,1.708E+13,,,45.8047595,-122.4940458,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,4,N,3,E,30,NW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:36
FWM_BAYPI1,BAY LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pierce,Kitsap,Southwest Regional Office,6,26,1.711E+13,,5/10/2007 0:51,47.24420601,-122.7579453,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,20,N,1,W,1,SW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:37
FWM_BEACL1,BEAVER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Clallam,Soleduck-Hoh,Southwest Regional Office,6,24,1.71001E+13,,7/12/2010 7:28,48.11179761,-124.2461652,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,30,N,12,W,9,SE,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:38
FWM_BEAKI1,BEAVER LAKE NO. 2,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,King,Cedar-Sammamish,Northwest Regional Office,8,41,1.711E+13,,6/5/2006 15:29,47.59176585,-121.9957461,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,24,N,6,E,2,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:39
FWM_BEAOK1,BEAVER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Kettle,Central Regional Office,4,7,1.702E+13,,4/15/2006 12:32,48.8523598,-118.9747399,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,39,N,30,E,25,NE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:38
FWM_BEAPE1,BEAD LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,Wa,,Pend Oreille,Pend Oreille,Eastern Regional Office,5,7,1.70102E+13,,11/29/2012 0:00,48.30231616,-117.1129816,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,32,N,45,E,4,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:38
FWM_BEASK1,BEAVER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Skagit,Lower Skagit-Samish,Northwest Regional Office,1,39,1.711E+13,,7/1/2010 14:25,48.44875712,-122.2187313,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,34,N,5,E,7,SW,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:38
FWM_BEASP1,BEAR (KUESTER) LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Spokane,Little Spokane,Eastern Regional Office,5,7,1.70103E+13,,6/17/2008 19:53,47.92543142,-117.3551454,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,28,N,43,E,15,NE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:38
FWM_BEESN1,BEECHER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Snohomish,Snohomish,Northwest Regional Office,1,1,1.711E+13,,9/10/2009 23:37,47.84639145,-122.0909273,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,27,N,6,E,7,NW,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:39
FWM_BENMA1,BENSON LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Mason,Kennedy-Goldsborough,Southwest Regional Office,6,35,1.711E+13,,5/10/2007 0:50,47.33682862,-122.924596,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,21,N,2,W,3,SW,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:39
FWM_BETOK1,BETH LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Kettle,Central Regional Office,4,7,1.702E+13,,3/21/2008 12:04,48.86080646,-118.9907829,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,39,N,30,E,23,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:39
FWM_BIGDO1,BIG BOW LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Douglas,Moses Coulee,Central Regional Office,4,12,1.702E+13,,8/30/2006 8:02,47.3843181,-120.158453,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,22,N,21,E,23,NE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BIGPE1,BIG MEADOW LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pend Oreille,Upper Lake Roosevelt,Eastern Regional Office,5,7,1.702E+13,,5/15/2006 21:34,48.72776435,-117.5576377,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,37,N,42,E,7,NW,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BIGSK1,BIG LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Skagit,Lower Skagit-Samish,Northwest Regional Office,1,10,1.711E+13,,7/12/2012 0:00,48.38156438,-122.2299996,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,33,N,4,E,1,NE,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BIGSK2,BIG MOSQUITO LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Skamania,Wind-White Salmon,Southwest Regional Office,3,14,1.70701E+13,,9/11/2006 1:06,46.12790449,-121.7591932,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,7,N,8,E,2,NE,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BILGR1,BILLY CLAPP LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Grand Coulee,Eastern Regional Office,4,13,1.702E+13,,4/21/2006 15:56,47.45308,-119.2478696,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,23,N,28,E,25,SW,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLAPA1,BLACK LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pacific,Willapa,Southwest Regional Office,3,19,1.71001E+13,,1/26/2007 16:13,46.3152971,-124.0407204,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,10,N,11,W,33,NE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLASN1,BLACKMANS LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Snohomish,Snohomish,Northwest Regional Office,1,44,1.711E+13,,11/3/2004 17:50,47.93226686,-122.0940023,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,28,N,6,E,7,NW,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLAST1,BLACK LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Stevens,Colville,Eastern Regional Office,5,7,1.702E+13,,11/16/2005 15:55,48.56115864,-117.6260568,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,35,N,41,E,3,SW,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLATH1,BLACK LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Thurston,Upper Chehalis,Southwest Regional Office,10,35,1.71001E+13,,11/20/2004 9:16,46.9923607,-122.978018,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,17,N,2,W,6,NE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLUGR1,BLUE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Grand Coulee,Eastern Regional Office,4,13,1.702E+13,,4/21/2006 15:53,47.5672783,-119.4440658,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,24,N,27,E,21,NW,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLUOK3,BLUE LAKE (37N-25E-22),"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Okanogan,Central Regional Office,4,7,1.702E+13,,3/29/2006 16:24,48.68316276,-119.6911673,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,37,N,25,E,21,SE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BLUTH1,BLUE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data",,N,,,WA,,Thurston,Nisqually,Southwest Regional Office,3,20,1.711E+13,,,46.81761198,-122.4688026,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,15,N,3,E,6,NE,,,,,,,,,,,,,FW_MACROPHYTE,5/21/2014 13:52
FWM_BLYGR1,BLYTHE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Lower Crab,Eastern Regional Office,4,13,1.702E+13,,6/19/2007 8:39,46.95867709,-119.285892,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,17,N,28,E,15,SE,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BONCO1,BONNEVILLE RESERVOIR,"Lake, Pond, or Reservoir",Reservoir behind Bonneville Dam. Littoral zone for plant data.  See 'sample collection method' and 'field collection comment' for additional details,,N,,,WA,,,,,,,1.70701E+13,,,45.700384,-121.315828,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,,,,,,,,,,,,,,,,,,,FW_MACROPHYTE,5/19/2014 14:49
FWM_BONOK1,BONAPARTE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Okanogan,Central Regional Office,4,7,1.702E+13,,4/22/2006 14:32,48.80019012,-119.0543539,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,38,N,30,E,9,SW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BONPI1,BONNEY LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pierce,Puyallup-White,Southwest Regional Office,8,31,1.711E+13,,12/27/2004 19:52,47.18900596,-122.1857755,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,20,N,5,E,28,SW,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BONWH1,BONNIE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Spokane,Palouse,Eastern Regional Office,5,9,1.70601E+13,,6/24/2008 10:36,47.28115259,-117.559212,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,21,N,42,E,30,SW,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BORKI1,BOREN LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,King,Cedar-Sammamish,Northwest Regional Office,9,41,1.711E+13,,6/5/2006 15:30,47.53270509,-122.1652512,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,24,N,5,E,28,SE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BOSSN1,BOSWORTH LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Snohomish,Snohomish,Northwest Regional Office,1,39,1.711E+13,,7/20/2012 0:00,48.04335328,-121.9707365,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,30,N,6,E,36,NE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BOWSK1,BOWLES LAKE WEST,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Skamania,Wind-White Salmon,Southwest Regional Office,3,14,1.70701E+13,,9/11/2006 1:49,45.6792106,-121.9264399,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,2,N,7,E,10,NE,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BOXPE1,BOX CANYON RESERVOIR,"Lake, Pond, or Reservoir",Reservoir behind Box Canyon Dam. Littoral zone for plant data.  See 'sample collection method' and 'field collection comment' for additional details,,N,,,WA,,Pend Oreille,Pend Oreille,Eastern Regional Office,5,7,1.70102E+13,,,48.461767,-117.30802,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,34,N,43,E,12,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,5/19/2014 14:49
FWM_BROPE1,BROWNS LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pend Oreille,Pend Oreille,Eastern Regional Office,5,7,1.70102E+13,,11/29/2012 0:00,48.43860794,-117.1916955,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,34,N,44,E,24,NW,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BRYSN1,BRYANT LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Snohomish,Stillaguamish,Northwest Regional Office,1,10,1.711E+13,,11/4/2004 21:33,48.23415855,-122.1505297,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,32,N,5,E,27,NW,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
FWM_BRYSN2,BRYAN LAKE,"Lake, Pond, or Reservoir",Reservoir behind Little Goose Dam. Littoral zone for plant data.  See 'sample collection method' and 'field collection comment' for additional details,,N,,,WA,,Whitman,Middle Snake,Eastern Regional Office,5,9,1.70601E+13,,,46.695942,-117.731806,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,14,N,40,E,13,SE,NW,,,,,,,,,,,,FW_MACROPHYTE,5/19/2014 14:49
FWM_BUCKI1,BUCK LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Kitsap,Kitsap,Northwest Regional Office,6,23,1.711E+13,,5/10/2007 0:47,47.91065572,-122.5594301,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,28,N,2,E,21,NW,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:40
